개설강좌,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NO,개설전공,개설과정,과목번호,분반,교과목명,담당교수,이수구분,과목구분,과목세부구분,강의실습구분,과목개설주기,학점,이론시수,실습시수,코드쉐어여부,영어강의여부,요일/교시/강의실,비고
21,화학물리학과,석사,EM900,04,Thesis(M.S.),김소연,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
22,화학물리학과,석사,EM900,05,Thesis(M.S.),김아람,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
23,화학물리학과,석사,EM900,06,Thesis(M.S.),김영욱,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
24,화학물리학과,석사,EM900,07,Thesis(M.S.),김종구,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
25,화학물리학과,석사,EM900,08,Thesis(M.S.),남은주,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
26,화학물리학과,석사,EM900,09,Thesis(M.S.),문혜원,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
27,화학물리학과,석사,EM900,10,Thesis(M.S.),박기성,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
28,화학물리학과,석사,EM900,11,Thesis(M.S.),박진희,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
29,화학물리학과,석사,EM900,12,Thesis(M.S.),서상원,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
30,화학물리학과,석사,EM900,13,Thesis(M.S.),서정필,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
31,화학물리학과,석사,EM900,14,Thesis(M.S.),성주영,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
32,화학물리학과,석사,EM900,15,Thesis(M.S.),유천열,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
33,화학물리학과,석사,EM900,16,Thesis(M.S.),이성기,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
34,화학물리학과,석사,EM900,17,Thesis(M.S.),이성원,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
35,화학물리학과,석사,EM900,18,Thesis(M.S.),이신범,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
36,화학물리학과,석사,EM900,19,Thesis(M.S.),이재동,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
37,화학물리학과,석사,EM900,20,Thesis(M.S.),정낙천,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
38,화학물리학과,석사,EM900,21,Thesis(M.S.),정병혁,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
39,화학물리학과,석사,EM900,22,Thesis(M.S.),조용준,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
40,화학물리학과,석사,EM900,23,Thesis(M.S.),조창희,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
41,화학물리학과,석사,EM900,24,Thesis(M.S.),허승정,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
42,화학물리학과,석사,EM900,25,Thesis(M.S.),홍선기,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
43,화학물리학과,석사,EM900,26,Thesis(M.S.),홍정일,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
44,화학물리학과,박사,EM901,01,Thesis(Ph.D.),강준구,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
45,화학물리학과,박사,EM901,02,Thesis(Ph.D.),권상일,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
46,화학물리학과,박사,EM901,03,Thesis(Ph.D.),김성균,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
47,화학물리학과,박사,EM901,04,Thesis(Ph.D.),김소연,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
48,화학물리학과,박사,EM901,05,Thesis(Ph.D.),김아람,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
49,화학물리학과,박사,EM901,06,Thesis(Ph.D.),김영욱,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
50,화학물리학과,박사,EM901,07,Thesis(Ph.D.),김종구,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
51,화학물리학과,박사,EM901,08,Thesis(Ph.D.),남은주,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
52,화학물리학과,박사,EM901,09,Thesis(Ph.D.),문혜원,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
53,화학물리학과,박사,EM901,10,Thesis(Ph.D.),박기성,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
54,화학물리학과,박사,EM901,11,Thesis(Ph.D.),박진희,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
55,화학물리학과,박사,EM901,12,Thesis(Ph.D.),서상원,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
56,화학물리학과,박사,EM901,13,Thesis(Ph.D.),서정필,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
57,화학물리학과,박사,EM901,14,Thesis(Ph.D.),성주영,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
58,화학물리학과,박사,EM901,15,Thesis(Ph.D.),유천열,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
59,화학물리학과,박사,EM901,16,Thesis(Ph.D.),이성기,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
60,화학물리학과,박사,EM901,17,Thesis(Ph.D.),이성원,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
61,화학물리학과,박사,EM901,18,Thesis(Ph.D.),이신범,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
62,화학물리학과,박사,EM901,19,Thesis(Ph.D.),이재동,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
63,화학물리학과,박사,EM901,20,Thesis(Ph.D.),정낙천,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
64,화학물리학과,박사,EM901,21,Thesis(Ph.D.),정병혁,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
65,화학물리학과,박사,EM901,22,Thesis(Ph.D.),조용준,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
66,화학물리학과,박사,EM901,23,Thesis(Ph.D.),조창희,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
67,화학물리학과,박사,EM901,24,Thesis(Ph.D.),허승정,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
68,화학물리학과,박사,EM901,25,Thesis(Ph.D.),홍선기,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
69,화학물리학과,박사,EM901,26,Thesis(Ph.D.),홍정일,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
70,화학물리학과,석사,EM904,01,Internship(M.S.),박진희,전공,일반과목,연구(Internship),실습,매년,1.0,0.0,1.0,N,Y,,
71,화학물리학과,박사,EM905,01,Internship(Ph.D.),박진희,전공,일반과목,연구(Internship),실습,매년,1.0,0.0,1.0,N,Y,,
72,화학물리학과,석사,EM906,01,Seminar(M.S.),김아람,전공,일반과목,연구(Seminar),이론,매년,1.0,1.0,0.0,N,Y,화16:30-17:30(E2 - 115),
73,화학물리학과,박사,EM907,01,Seminar(Ph.D.),김아람,전공,일반과목,연구(Seminar),이론,매년,1.0,1.0,0.0,N,Y,화16:30-17:30(E2 - 115),
74,전기전자컴퓨터공학과,전체,IC521,01,소프트웨어 공학,김기섭,전공,일반과목,교과,이론,매년,3.0,3.0,0.0,N,Y,화13:00-16:00(E3 - 424),
75,전기전자컴퓨터공학과,전체,IC524,01,로직 및 소프트웨어 시스템,김백규,전공,일반과목,교과,이론,매년,3.0,3.0,0.0,N,Y,"화10:30-12:00(E3 - 113), 목10:30-12:00(E3 - 113)",
76,전기전자컴퓨터공학과,전체,IC525,01,소프트웨어 정형 검증,김윤승,전공,일반과목,교과,이론,매년,3.0,3.0,0.0,N,Y,"화13:00-14:30(E3 - 113), 목13:00-14:30(E3 - 113)",
77,전기전자컴퓨터공학과,전체,IC566c,01,확률변수 및 랜덤프로세스,윤성훈,전공,코어과목,교과,이론,매년,3.0,3.0,0.0,N,Y,"월13:30-15:00(E3 - 112), 수13:30-15:00(E3 - 112)",
78,전기전자컴퓨터공학과,전체,IC567c,01,선형시스템,김경대,전공,코어과목,교과,이론,매년,3.0,3.0,0.0,N,Y,"월15:00-16:30(E3 - 113), 수15:00-16:30(E3 - 113)",
79,전기전자컴퓨터공학과,전체,IC582c,01,반도체 공정,장재은,전공,코어과목,교과,이론,격년,3.0,3.0,0.0,N,Y,"화10:30-12:00(E3 - 626), 목10:30-12:00(E3 - 626)",
80,전기전자컴퓨터공학과,전체,IC585c,01,집적회로개론,이경태,전공,코어과목,교과,이론,격년,3.0,3.0,0.0,N,Y,"월15:00-16:30(E3 - 112), 수15:00-16:30(E3 - 112)",
81,전기전자컴퓨터공학과,전체,IC588,01,박막 트랜지스터 개론,이병문,전공,일반과목,교과,이론,격년,3.0,3.0,0.0,N,Y,"화15:00-16:30(E3 - 113), 목15:00-16:30(E3 - 113)",
82,전기전자컴퓨터공학과,전체,IC613,01,연합학습,소진현,전공,일반과목,교과,이론,격년,3.0,3.0,0.0,N,Y,"월15:00-16:30(E3 - 424), 수15:00-16:30(E3 - 424)",
83,전기전자컴퓨터공학과,전체,IC630c,01,무선 및 이동통신,최지웅,전공,코어과목,교과,이론,격년,3.0,3.0,0.0,N,Y,"화13:00-14:30(E3 - 112), 목13:00-14:30(E3 - 112)",
84,전기전자컴퓨터공학과,전체,IC633,01,코딩 및 정보이론,김영식,전공,일반과목,교과,이론,매년,3.0,3.0,0.0,N,Y,"월09:00-10:30(E3 - 112), 수09:00-10:30(E3 - 112)",
85,전기전자컴퓨터공학과,전체,IC670c,01,고급딥러닝,박대희,전공,코어과목,교과,이론,격년,3.0,3.0,0.0,N,Y,"월16:00-17:30(E3 - 626), 수16:00-17:30(E3 - 626)",
86,전기전자컴퓨터공학과,전체,IC692,01,반도체소자분석 원리와 기기,최상현,전공,일반과목,교과,이론,격년,3.0,3.0,0.0,N,Y,"월10:30-12:00(E3 - 424), 수10:30-12:00(E3 - 424)",
87,전기전자컴퓨터공학과,전체,IC755c,01,의생명광학,이병권,전공,코어과목,교과,이론,격년,3.0,3.0,0.0,N,Y,"화10:30-12:00(E3 - 424), 목10:30-12:00(E3 - 424)",
88,전기전자컴퓨터공학과,전체,IC769,01,계산기하학 및 응용,신동훈,전공,일반과목,교과,이론,격년,3.0,3.0,0.0,N,Y,"화13:30-15:00(E3 - 626), 목13:30-15:00(E3 - 626)",
89,전기전자컴퓨터공학과,전체,IC887,01,계측기 특강 - 측정장비의 원리와 구조,김가인,전공,특론과목,교과,이론,격년,3.0,3.0,0.0,N,Y,"월10:30-12:00(E3 - 626), 수10:30-12:00(E3 - 626)",
90,전기전자컴퓨터공학과,석사,IC900,01,Thesis(M.S.),권혁준,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
91,전기전자컴퓨터공학과,석사,IC900,02,Thesis(M.S.),길현재,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
92,전기전자컴퓨터공학과,석사,IC900,03,Thesis(M.S.),김가인,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
93,전기전자컴퓨터공학과,석사,IC900,04,Thesis(M.S.),김경대,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
94,전기전자컴퓨터공학과,석사,IC900,05,Thesis(M.S.),김기섭,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
95,전기전자컴퓨터공학과,석사,IC900,06,Thesis(M.S.),김백규,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
96,전기전자컴퓨터공학과,석사,IC900,07,Thesis(M.S.),김선준,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
97,전기전자컴퓨터공학과,석사,IC900,08,Thesis(M.S.),김영식,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
98,전기전자컴퓨터공학과,석사,IC900,10,Thesis(M.S.),목지수,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
99,전기전자컴퓨터공학과,석사,IC900,11,Thesis(M.S.),박경준,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
100,전기전자컴퓨터공학과,석사,IC900,12,Thesis(M.S.),박대희,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
101,전기전자컴퓨터공학과,석사,IC900,13,Thesis(M.S.),서대원,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
102,전기전자컴퓨터공학과,석사,IC900,14,Thesis(M.S.),소진현,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
103,전기전자컴퓨터공학과,석사,IC900,15,Thesis(M.S.),송민영,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
104,전기전자컴퓨터공학과,석사,IC900,16,Thesis(M.S.),신동훈,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
105,전기전자컴퓨터공학과,석사,IC900,17,Thesis(M.S.),윤종혁,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
106,전기전자컴퓨터공학과,석사,IC900,18,Thesis(M.S.),은용순,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
107,전기전자컴퓨터공학과,석사,IC900,19,Thesis(M.S.),이경태,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
108,전기전자컴퓨터공학과,석사,IC900,20,Thesis(M.S.),이기준,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
109,전기전자컴퓨터공학과,석사,IC900,21,Thesis(M.S.),이민선,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
110,전기전자컴퓨터공학과,석사,IC900,22,Thesis(M.S.),이병권,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
111,전기전자컴퓨터공학과,석사,IC900,23,Thesis(M.S.),이병문,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
112,전기전자컴퓨터공학과,석사,IC900,24,Thesis(M.S.),이용우,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
113,전기전자컴퓨터공학과,석사,IC900,25,Thesis(M.S.),이정협,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
114,전기전자컴퓨터공학과,석사,IC900,26,Thesis(M.S.),임성훈,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
115,전기전자컴퓨터공학과,석사,IC900,27,Thesis(M.S.),장재은,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
116,전기전자컴퓨터공학과,석사,IC900,28,Thesis(M.S.),장준기,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
117,전기전자컴퓨터공학과,석사,IC900,29,Thesis(M.S.),장진호,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
118,전기전자컴퓨터공학과,석사,IC900,30,Thesis(M.S.),전민석,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
119,전기전자컴퓨터공학과,석사,IC900,31,Thesis(M.S.),좌훈승,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
120,전기전자컴퓨터공학과,석사,IC900,32,Thesis(M.S.),최상현,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
121,전기전자컴퓨터공학과,석사,IC900,33,Thesis(M.S.),최원석,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
122,전기전자컴퓨터공학과,석사,IC900,34,Thesis(M.S.),최재호,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
123,전기전자컴퓨터공학과,석사,IC900,35,Thesis(M.S.),최지웅,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
124,전기전자컴퓨터공학과,석사,IC900,36,Thesis(M.S.),황재윤,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
125,전기전자컴퓨터공학과,석사,IC900,37,Thesis(M.S.),김윤승,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
126,전기전자컴퓨터공학과,석사,IC900,38,Thesis(M.S.),윤성훈,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
127,전기전자컴퓨터공학과,석사,IC900,39,Thesis(M.S.),이효근,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
128,전기전자컴퓨터공학과,박사,IC901,01,Thesis(Ph.D.),권혁준,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
129,전기전자컴퓨터공학과,박사,IC901,02,Thesis(Ph.D.),길현재,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
130,전기전자컴퓨터공학과,박사,IC901,03,Thesis(Ph.D.),김가인,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
131,전기전자컴퓨터공학과,박사,IC901,04,Thesis(Ph.D.),김경대,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
132,전기전자컴퓨터공학과,박사,IC901,05,Thesis(Ph.D.),김기섭,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
133,전기전자컴퓨터공학과,박사,IC901,06,Thesis(Ph.D.),김백규,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
134,전기전자컴퓨터공학과,박사,IC901,07,Thesis(Ph.D.),김선준,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
135,전기전자컴퓨터공학과,박사,IC901,08,Thesis(Ph.D.),김영식,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
136,전기전자컴퓨터공학과,박사,IC901,10,Thesis(Ph.D.),목지수,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
137,전기전자컴퓨터공학과,박사,IC901,11,Thesis(Ph.D.),박경준,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
138,전기전자컴퓨터공학과,박사,IC901,12,Thesis(Ph.D.),박대희,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
139,전기전자컴퓨터공학과,박사,IC901,13,Thesis(Ph.D.),서대원,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
140,전기전자컴퓨터공학과,박사,IC901,14,Thesis(Ph.D.),소진현,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
141,전기전자컴퓨터공학과,박사,IC901,15,Thesis(Ph.D.),송민영,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
142,전기전자컴퓨터공학과,박사,IC901,16,Thesis(Ph.D.),신동훈,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
143,전기전자컴퓨터공학과,박사,IC901,17,Thesis(Ph.D.),윤종혁,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
144,전기전자컴퓨터공학과,박사,IC901,18,Thesis(Ph.D.),은용순,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
145,전기전자컴퓨터공학과,박사,IC901,19,Thesis(Ph.D.),이경태,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
146,전기전자컴퓨터공학과,박사,IC901,20,Thesis(Ph.D.),이기준,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
147,전기전자컴퓨터공학과,박사,IC901,21,Thesis(Ph.D.),이민선,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
148,전기전자컴퓨터공학과,박사,IC901,22,Thesis(Ph.D.),이병권,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
149,전기전자컴퓨터공학과,박사,IC901,23,Thesis(Ph.D.),이병문,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
150,전기전자컴퓨터공학과,박사,IC901,24,Thesis(Ph.D.),이용우,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
151,전기전자컴퓨터공학과,박사,IC901,25,Thesis(Ph.D.),이정협,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
152,전기전자컴퓨터공학과,박사,IC901,26,Thesis(Ph.D.),임성훈,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
153,전기전자컴퓨터공학과,박사,IC901,27,Thesis(Ph.D.),장재은,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
154,전기전자컴퓨터공학과,박사,IC901,28,Thesis(Ph.D.),장준기,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
155,전기전자컴퓨터공학과,박사,IC901,29,Thesis(Ph.D.),장진호,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
156,전기전자컴퓨터공학과,박사,IC901,30,Thesis(Ph.D.),전민석,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
157,전기전자컴퓨터공학과,박사,IC901,31,Thesis(Ph.D.),좌훈승,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
158,전기전자컴퓨터공학과,박사,IC901,32,Thesis(Ph.D.),최상현,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
159,전기전자컴퓨터공학과,박사,IC901,33,Thesis(Ph.D.),최원석,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
160,전기전자컴퓨터공학과,박사,IC901,34,Thesis(Ph.D.),최재호,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
161,전기전자컴퓨터공학과,박사,IC901,35,Thesis(Ph.D.),최지웅,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
162,전기전자컴퓨터공학과,박사,IC901,36,Thesis(Ph.D.),황재윤,전공,일반과목,연구(Thesis),이론,매년,0.0,0.0,0.0,N,Y,,
